TimeStamp,"Symbol","Price","Change from the Close","Volume Today","Volume Today","Earnings Date","Change in 20 Days","Float","Average Daily Volume (3M)"
2026-09-22 23:59:47,"HLTH","30.7","4.5925346","13214","218.70242","","4.2738701","1.4306e+08","10340"
2026-09-22 23:59:47,"UCTT","76.25","4.3805613","1185760","151.41679","26.25","-0.23550962","43916200","1268860"
2026-09-22 23:59:47,"PLXS","263.33","4.3469644","404795","198.07646","26.25","9.6568671","26277600","288140"
2026-09-22 23:59:47,"FIVN","38.6048","4.3091056","5174104","213.84766","","17.877252","71381904","2590980"
2026-09-22 23:59:47,"HBM","27.78","4.2401501","5835741","142.19947","31.25","-7.5848303","4.27288e+08","4667420"
2026-09-22 23:59:47,"CLF","12.5685","4.1300746","19534259","154.5718","24.25","11.521739","5.6060301e+08","19135600"
2026-09-22 23:59:47,"WPM","153.4395","3.9140593","2223875","155.47964","32.75","-2.7509824","4.5362899e+08","1995000"
2026-09-22 23:59:47,"ALB","117.2","3.790294","4100395","145.48838","31.25","-18.184991","1.17684e+08","2355000"
2026-09-22 23:59:47,"HIMS","30.46","3.7819421","16648722","195.30967","","-9.8283008","2.0650899e+08","12957400"
2026-09-22 23:59:47,"VFC","13.54","3.7547893","9478457","138.3541","29.25","-5.7759221","3.6782e+08","6974940"
2026-09-22 23:59:47,"APD","289.72","3.6713694","2111221","163.58218","32.25","-5.0409721","2.2257501e+08","1195620"
2026-09-22 23:59:47,"HALO","115.45","3.5890534","4151657","170.00704","","6.730147","1.12265e+08","2079850"
2026-09-22 23:59:47,"RGLD","259","3.5544358","1031856","139.28829","31.25","-0.003864625","84504496","708077"
2026-09-22 23:59:47,"TTMI","128.4","3.5316884","2841357","157.86913","31.25","16.157047","1.01478e+08","2774560"
2026-09-22 23:59:47,"ACHC","29.37","3.5248502","2061165","147.25521","31.25","5.5715313","86271104","2501920"
2026-09-22 23:59:47,"RNG","80","3.4928849","2478699","166.48581","34.25","19.385166","72530896","1870200"
2026-09-22 23:59:47,"SUZ","9.56","3.3513514","4337470","164.26084","","8.8838269","1.2398001e+09","3109000"
2026-09-22 23:59:47,"A","167","3.1246141","3782903","164.13742","-18.25","5.0314465","2.8147699e+08","2210720"
2026-09-22 23:59:47,"RKT","12.74","3.0744337","49379420","141.7668","27.25","-8.5427136","9.3522598e+08","30177700"
2026-09-22 23:59:47,"KTOS","47.13","-3.0047335","6127376","156.77654","27.25","-17.561658","1.8535699e+08","4270100"
2026-09-22 23:59:47,"CW","550.56","-3.0738388","884417","202.79259","31.25","-13.296271","36770500","329545"
2026-09-22 23:59:47,"AIZ","268.5645","-3.1781328","741306","192.11787","30.25","-5.4483552","48941000","363763"
2026-09-22 23:59:47,"FTDR","77.19","-3.1857519","878139","155.13343","27.25","-6.5383218","72311504","563110"
2026-09-22 23:59:47,"CGNX","60","-3.2101952","2417968","164.1612","27.25","-0.89197225","1.6760701e+08","2077430"
2026-09-22 23:59:47,"SIRI","26.55","-3.2434402","6229313","151.68197","30.25","-7.459045","3.1118202e+08","4052500"
2026-09-22 23:59:47,"PRI","275.65","-3.4534725","324866","158.45731","","-6.8183378","30611100","186533"
2026-09-22 23:59:47,"BWA","61.11","-3.4902085","3952313","177.32776","27.25","-9.840661","2.0227901e+08","2227890"
2026-09-22 23:59:47,"RJF","159.39","-3.5111098","2161484","160.88635","26.75","-9.023971","1.7211e+08","1265060"
2026-09-22 23:59:47,"UBS","49.24","-3.564434","3059608","182.45152","26.25","-7.5999249","3.02062e+09","1707200"
2026-09-22 23:59:47,"BRO","62","-3.5769829","3719397","154.31358","29.25","-14.975315","2.8137101e+08","2403980"
2026-09-22 23:59:47,"SPXC","174.65","-3.609472","1109067","189.61749","27.25","-15.709458","48457700","641537"
2026-09-22 23:59:47,"CARG","31.94","-3.70817","2225961","200.01177","","-13.324288","71194800","1061880"
2026-09-22 23:59:47,"OSK","138.04","-3.7243688","1207897","222.66039","22.25","-12.126806","61204300","695890"
2026-09-22 23:59:47,"VAC","99.15","-3.7658934","903436","202.28564","","-11.90582","31415400","484695"
2026-09-22 23:59:47,"NP","27.55","-3.7722669","993756","208.12167","41.25","-17.416067","40204100","711261"
2026-09-22 23:59:47,"LH","308.4","-3.9222376","1912481","222.89832","22.25","-8.3070692","80774096","709303"
2026-09-22 23:59:47,"DGX","235.1","-3.9937948","2719863","253.53858","25.25","-3.801301","1.09846e+08","977629"
2026-09-22 23:59:47,"RYAN","38.44","-4.0439341","3646198","156.73141","27.25","-11.182994","1.10617e+08","2068820"
2026-09-22 23:59:47,"VLO","377.25","-4.0735346","7459412","183.6672","22.25","8.1379395","2.86748e+08","2972300"
2026-09-22 23:59:47,"TVTX","60.28","-4.1043589","3120321","198.06318","22.25","-8.2635824","90207296","1576010"
2026-09-22 23:59:47,"VFS","3.24","-4.1420118","663355","164.12975","-1.75","4.1800643","39540000","381912"
2026-09-22 23:59:47,"AMP","512.37","-4.3586149","1046731","156.99144","25.25","-7.7791222","88114800","584661"
2026-09-22 23:59:47,"CSCO","106.3841","-4.5540104","32892748","189.06542","","-4.1929935","3.93213e+09","20735000"
2026-09-22 23:59:47,"LTH","38.0816","-4.5813079","6635185","189.70311","22.25","-15.580581","1.84002e+08","3058360"
2026-09-22 23:59:47,"CHTR","117.65","-4.6209972","4706142","158.64216","28.25","-21.655457","1.24976e+08","3010930"
2026-09-22 23:59:47,"VIK","82","-4.706566","8683015","210.71929","","-11.628408","2.0675299e+08","3045350"
2026-09-22 23:59:47,"TW","99.49","-4.7486836","2038073","161.4823","27.25","-7.053438","1.1358e+08","1504870"
2026-09-22 23:59:47,"ABVX","98.51","-4.7752537","2531725","197.21048","-0.25","-14.30187","77290000","1395800"
2026-09-22 23:59:47,"BFH","102.69","-4.9166667","929226","157.18582","22.25","-3.0403173","37233400","577294"
2026-09-22 23:59:47,"FSLY","26.02","-5.1057622","14968299","215.4577","31.25","4.2885772","1.4869e+08","5659770"
2026-09-22 23:59:47,"RCL","237.25","-5.1948052","8400154","372.51551","30.25","-18.75","2.5073101e+08","2169670"
2026-09-22 23:59:47,"ALL","229.3","-5.583464","5257527","271.39321","31.75","-9.663949","2.51566e+08","1719850"
2026-09-22 23:59:47,"DSC","6.39","-5.6129985","50373","138.34935","-18.75","-25.087925","4.8176e+08","92080"
2026-09-22 23:59:47,"BSP","36.58","-5.7459418","4669218","223.91711","","-11.535671","2.3040701e+08","2515400"
2026-09-22 23:59:47,"SCHW","100.64","-5.8383234","16922582","206.18979","17.25","-10.382903","1.63017e+09","8391370"
2026-09-22 23:59:47,"DBX","33.85","-5.9983338","10202599","222.41302","27.25","-1.7986655","1.7075299e+08","3926500"
2026-09-22 23:59:47,"VIRT","54.4","-6.1097687","1639281","200.38959","31.25","-19.917562","84313504","1244080"
2026-09-22 23:59:47,"PAY","32.3","-6.3768116","1486806","173.37915","34.25","-19.25","57107900","1273520"
2026-09-22 23:59:47,"GDDY","98","-6.4617734","3891057","167.85146","27.25","0.95807149","1.2539e+08","2072010"
2026-09-22 23:59:47,"ECO","77.15","-6.6319739","1798023","203.25233","","19.224231","20001100","563110"
2026-09-22 23:59:47,"NYT","65.6736","-6.8855806","8352487","262.07671","","-0.024965748","1.5780301e+08","2120550"
2026-09-22 23:59:47,"GEN","27.05","-7.2041166","12605112","186.31418","","-6.4984445","5.3914298e+08","5471990"
2026-09-22 23:59:47,"LPLA","308.0219","-7.2949224","2304463","423.68462","22.25","-14.75802","78320096","751712"
2026-09-22 23:59:47,"NKTR","61.45","-8.0640335","3318344","287.4999","","-16.981897","33960000","892945"
2026-09-22 23:59:47,"LFTO","16.2","-8.2152975","1722072","139.18478","","-14.602003","31124700","868244"
2026-09-22 23:59:47,"PLNT","42.62","-9.4155154","7466885","357.08031","","-21.365314","78624704","1895300"
2026-09-22 23:59:47,"CLDX","33.77","-10.873581","12889270","1288.4644","","-16.36949","78360000","986372"
